category,rank,show_title,season_title,hours_viewed_first_28_days,kor_name,type
Films (English),1,Red Notice,N/A,364020000,레드 노티스,오리지널
Films (English),2,Don't Look Up,N/A,359790000,돈룩업,오리지널
Films (English),3,Bird Box,N/A,282020000,버드 박스,오리지널
Films (English),4,Glass Onion: A Knives Out Mystery,N/A,279740000,나이브스 아웃 글래스어니언,오리지널
Films (English),5,The Gray Man,N/A,253870000,더 그레이 맨,오리지널
Films (English),6,The Adam Project,N/A,233160000,애덤 프로젝트,오리지널
Films (English),7,Extraction,N/A,231340000,익스트랙션,오리지널
Films (English),8,Purple Hearts,N/A,228690000,퍼플 하트,오리지널
Films (English),9,The Unforgivable,N/A,214700000,언포기버블,오리지널
Films (English),10,The Irishman,N/A,214570000,아이리시맨,오리지널
Films (Non-English),1,Troll,N/A,155560000,트롤,오리지널
Films (Non-English),2,Blood Red Sky,N/A,110520000,블러드 레드 스카이,오리지널
Films (Non-English),3,The Platform,N/A,108090000,더 플랫폼,일반
Films (Non-English),4,All Quiet on the Western Front,N/A,101360000,서부전선 이상없다,오리지널
Films (Non-English),5,Black Crab,N/A,94130000,블랙 크랩,오리지널
Films (Non-English),6,Through My Window,N/A,92440000,스루 마이 윈도,오리지널
Films (Non-English),7,AKA,N/A,81850000,에이전트 A.K.A.,오리지널
Films (Non-English),8,Hunger,N/A,80910000,헝거,오리지널
Films (Non-English),9,The Takedown,N/A,78630000,투캅스 인 더 파리 더 테이크다운,오리지널
Films (Non-English),10,Below Zero,N/A,78300000,빌로우제로,오리지널
TV (English),1,Stranger Things,Stranger Things 4,1352090000,기묘한 이야기 시즌4,오리지널
TV (English),2,Wednesday,Wednesday: Season 1,1237150000,웬즈데이 시즌1,오리지널
TV (English),3,DAHMER,DAHMER: Monster: The Jeffrey Dahmer Story,856270000,다머,오리지널
TV (English),4,Bridgerton,Bridgerton: Season 2,656260000,브리저튼 시즌2,오리지널
TV (English),5,The Night Agent,The Night Agent: Season 1,626990000,나이트에이전트,오리지널
TV (English),6,Bridgerton,Bridgerton: Season 1,625490000,브리저튼 시즌1,오리지널
TV (English),7,Stranger Things,Stranger Things 3,582100000,기묘한 이야기 시즌3,오리지널
TV (English),8,Lucifer,Lucifer: Season 5,569480000,루시퍼 시즌5,오리지널
TV (English),9,The Witcher,The Witcher: Season 1,541010000,위처 시즌1,오리지널
TV (English),10,Inventing Anna,Inventing Anna: Limited Series,511920000,애나 만들기,오리지널
TV (Non-English),1,Squid Game,Squid Game: Season 1,1650450000,오징어 게임,오리지널
TV (Non-English),2,Money Heist,Money Heist: Part 5,792230000,종이의 집 시즌5,오리지널
TV (Non-English),3,Money Heist,Money Heist: Part 4,619010000,종이의 집 시즌4,오리지널
TV (Non-English),4,All of Us Are Dead,All of Us Are Dead: Season 1,560780000,지금 우리 학교는,오리지널
TV (Non-English),5,The Glory,The Glory: Season 1,436900000,더 글로리,오리지널
TV (Non-English),6,Money Heist,Money Heist: Part 3,426400000,종이의 집 시즌3,오리지널
TV (Non-English),7,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,402470000,이상한 변호사 우영우,일반
TV (Non-English),8,Café con aroma de mujer,Café con aroma de mujer: Season 1,326910000,텔레노벨라,일반
TV (Non-English),9,Lupin,Lupin: Part 1,316830000,루핀 파트1,오리지널
TV (Non-English),10,Elite,Elite: Season 3,275300000,엘리트 시즌3,오리지널